Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R26,750,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,197.612,-83.407641,-90,top
R27,10.5k,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,181.901819,-57.433321,0,top
R28,45.3k,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.152975,-48.053842,180,top
U2,SN74LVC2T45DCUR,VSSOP-8_2.3x2mm_P0.5mm,218.452,-42.7015,-90,top
U3,DRV8871DDA,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,244.124,-52.41229,90,top
U4,SPX5205M5-L-5-0/TR,SOT-23-5,200.208546,-67.976953,-90,top
U6,ADS1232IPW,TSSOP-24_6.1x7.8mm_P0.65mm,188.8195,-74.605,0,top
U8,DRV8871DDA,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,232.439,-52.41229,90,top
U9,LMR16030PDDAR,VREG_LM5017MR_NOPB,182.962,-52.69,-90,top
U10,AZ1117-5.0,SOT-223-3_TabPin2,201.676,-49.53,-90,top
U11,ESP32-S3-WROOM-1U-N16R8,XCVR_ESP32-S3-WROOM-1U-N16R8,230.974798,-85.794,180,top
U12,AZ1117-3.3,SOT-223-3_TabPin2,211.088,-49.632,-90,top
